FILE,NOMBRE,UNIDAD_DE_COMPETENCIA,CONTENIDO
ISC/trabajoTerminal_I_ISC2020.pdf,"UNIDAD TEMÁTICA I 
Planeación de proyecto","D
 
UNIDAD DE 
COMPETENCIA 
etermina el plan de proyecto 
con 
base 
en 
su 
tipo 
y 
metodología","1
1.1. Proceso  de  planeación  de  desarrollo  de  proyectos 
científicos o tecnológicos en cómputo  
1.1.1. 
Identificación del tipo de proyecto  
1.1.2. 
Análisis de metodologías 
1.1.3. 
Metodologías 
1.1.4. 
El ciclo de vida del producto 
 
1.2. Administración de proyectos científicos o tecnológicos 
en cómputo 
.3. Planeación del proyecto 
1.3.1. 
Equipo de trabajo 
1.3.2. 
Delimitación del proyecto  
1.3.3. 
Análisis y gestión de riesgos del proyecto 
1.3.4. 
Métricas y estimación del proyecto"
ISC/trabajoTerminal_I_ISC2020.pdf,"UNIDAD TEMÁTICA II 
Análisis y diseño","P
 
UNIDAD DE 
COMPETENCIA 
ropone  el  diseño 
de 
un 
proyecto 
a 
partir 
de 
su 
análisis de requerimientos.","2
2.1 Análisis  
2.1.1. 
Delimitación del proyecto (conocimiento del 
negocio o investigación científica)  
2.1.2. 
Análisis de requerimientos 
2.1.3. 
Propuesta de arquitectura 
.2. Diseño 
2.2.1.  Modelado de datos 
2.2.2. 
Diseños funcionales"
ISC/trabajoTerminal_I_ISC2020.pdf,"UNIDAD TEMÁTICA III 
Prototipos","C
 
UNIDAD DE 
COMPETENCIA 
onstruye  un  prototipo  con 
base  en 
los  estándares  de 
desarrollo.","3
  3
3.1. Administración de cambios 
3.1.1. 
Control de versiones 
.2. Verificación y validación 
3.2.1. 
Verificación y validación de requerimientos 
3.2.2. 
Verificación y validación de diseño 
3.2.3. 
Verificación y validación del costo del proyecto 
.3. Estándares de desarrollo 
3.3.1. 
Prototipos funcionales y no funcionales"
ISC/analisisDisenoSistemas_ISC2020.pdf,"UNIDAD TEMÁTICA I 
Fundamentos de análisis y 
diseño de sistemas","UNIDAD DE COMPETENCIA 
 
Identifica los conceptos 
fundamentales del análisis y 
diseño, así como las principales 
metodologías de desarrollo de 
los sistemas software con base 
en el ciclo de vida del software.","1
1.1 Historia y evolución del desarrollo del software  
1.1.1 Necesidad del análisis y diseño de sistemas 
1.1.2 Sistemas de software 
1.1.3 Clasificación y ejemplos de sistemas 
 
1.2 Ciclo de vida del desarrollo de software 
1.2.1 Fases del ciclo de vida 
1.2.2  Uso  de  herramientas  especializadas  para  el 
desarrollo del software durante el ciclo de vida 
.3 Metodologías de desarrollo de software 
1.3.1 Metodologías tradicionales 
1.3.2 Metodologías estructuradas 
1.3.3 Metodologías orientadas a objetos 
1.3.4 Metodologías y prácticas ágiles"
ISC/analisisDisenoSistemas_ISC2020.pdf,"UNIDAD TEMÁTICA II 
El proceso de análisis del 
sistema","UNIDAD DE COMPETENCIA 
Aplica las tareas fundamentales 
del análisis de sistemas con 
base en criterios de validación y 
aceptación.","2
  2
2.1 Análisis de los requerimientos del sistema 
2.1.1 Identificación del problema 
2.1.2 Técnicas de recopilación de requerimientos 
2.1.3 Alcance del sistema 
 
2.2 Especificación de requerimientos 
2.2.1 Tipos de requerimientos 
2.2.2 Documentación de requerimientos 
2.2.3 Técnicas para especificación de 
requerimientos 
.3 Validación de requerimientos 
.4 Aceptación de requerimientos"
ISC/analisisDisenoSistemas_ISC2020.pdf,"UNIDAD TEMÁTICA III 
Modelado del sistema","UNIDAD DE COMPETENCIA 
Construye modelos de sistemas 
de software con base en las 
distintas vistas del sistema.","3
3.1 El proceso de modelado 
     3.1.1 Las vistas de un sistema 
.2 Técnicas para el modelado 
3.2.1 Técnicas para el modelado de requerimientos 
3.2.2 Técnicas para el modelado de datos 
3.2.3 Técnicas para el modelado de requerimientos 
no funcionales 
 
3.3 Vistas del sistema 
3.3.1 Vista del contexto (con el ambiente) 
3.3.2 Vista funcional (elementos funcionales) 
3.3.3 Vista de Información (flujo de información) 
3.3.4  Vista  de  concurrencia  (elementos  dinámicos 
en tiempo de ejecución) 
3.3.5 Vista de desarrollo (procesos, pruebas y 
mejoramiento) 
3.3.6 Vista de despliegue (HW y SW)"
ISC/analisisDisenoSistemas_ISC2020.pdf,"UNIDAD TEMÁTICA IV 
El proceso de diseño del 
sistema","UNIDAD DE COMPETENCIA 
Determina la arquitectura de un 
sistema de software con base 
en los estilos arquitectónicos de 
referencia.","4.1 Diseño de la arquitectura 
4.1.1 Propiedades del software asociadas con el 
diseño 
4.1.2 Estilos arquitectónicos de referencia 
4.2.3 Principios de patrones de diseño 
 
4.2 Consideraciones del diseño 
4.2.1 Diseño de entrada y salida efectivas 
4.2.2 Diseño de interfaz de usuario 
4.2.3 Diseño de archivos y bases de datos 
4.2.4 Diseño eficiente de la captura 
 
4.3 Retos del diseño 
4.3.1 Principios de diseño 
4.3.2 Principios de desarrollo de patrones de 
diseño: Singleton, Iterator, MVC"
ISC/analisisDisenoSistemas_ISC2020.pdf,"UNIDAD TEMÁTICA V 
Codificación y pruebas","UNIDAD DE COMPETENCIA 
Implementa la validación de 
sistemas de software con base 
en un plan de pruebas y 
herramientas automatizadas.","5
  5
  5
  5
5.1 Convenciones de codificación 
5.1.1 Fallas y errores del software 
5.1.2 Código limpio 
.2 Pruebas de programas 
    5.2.1 Pruebas de unidad  
    5.2.2 Pruebas de integración          
.3 Pruebas de sistemas 
    5.3.1 Pruebas funcionales 
    5.3.2 Pruebas de desempeño 
    5.3.3 Pruebas de aceptación 
.4 Documentación de pruebas  
    5.4.1 El plan de pruebas 
    5.4.2 Diseño de pruebas 
    5.4.3 Registro de pruebas 
    5.4.4 Informes 
.5 Herramientas de pruebas automatizadas  
    5.5.1 Plataformas de trabajo colaborativo"
ISC/aplicacionesComunicacionesRed_ISC2020.pdf,"UNIDAD TEMÁTICA I 
Sockets bloqueantes","P
 
UNIDAD DE COMPETENCIA 
rograma  aplicaciones  en  red 
con base en el modelo cliente-
servidor, 
usando 
sockets 
bloqueantes.","1.1 
Servicios definidos en la capa de transporte 
1.2 
Modelo cliente-servidor 
1.3 
Conexiones en el dominio de internet 
1.3.1  TCP 
1.3.2  UDP 
1.4 
Sockets orientados a conexión bloqueantes 
1.5 
Serialización 
1.6 
Sockets no orientados a conexión bloqueantes"
ISC/aplicacionesComunicacionesRed_ISC2020.pdf,"UNIDAD TEMÁTICA II 
Arquitectura multihilos para 
servidores","P
   
 
UNIDAD DE COMPETENCIA 
rograma aplicaciones cliente-
servidor  con  base  en  el  uso 
hilos, 
y 
mecanismos 
de 
sincronización.","2.1. 
Sincronía de hilos 
2.1.1. Instrucciones atómicas 
2.1.2. Sección crítica 
2.1.3. Candados 
2.1.4. Exclusión mutua 
2.1.5. Semáforos 
2.1.6. Pools de hilos 
2.2. 
Multihilos 
2.3. 
Formatos de intercambio de datos"
ISC/aplicacionesComunicacionesRed_ISC2020.pdf,"UNIDAD TEMÁTICA III 
Sockets no bloqueantes","P
 
UNIDAD DE COMPETENCIA 
rograma aplicaciones cliente-
servidor, con base en el uso de 
sockets 
no 
bloqueantes 
y 
multidifusión.","3.1. 
Sockets orientados a conexión no bloqueantes 
3.2. 
Sockets no orientados a conexión bloqueantes 
3.3. 
Multidifusión 
3.3.1. Datagramas de multidifusión 
3.3.2. Resolución de direcciones de multidifusión lógicas 
a físicas 
3.3.3. Protocolo IGMP 
3.4. 
Sockets de multidifusión"
ISC/aplicacionesComunicacionesRed_ISC2020.pdf,"UNIDAD TEMÁTICA IV 
Protocolos de la capa de 
aplicación","P
 
UNIDAD DE COMPETENCIA 
rograma  aplicaciones  de  red 
con  base  en  especificaciones 
de  protocolos  de  aplicaciones 
orientadas  y  no  orientadas  a 
conexión.","4.1. 
Aplicaciones no orientadas a conexión 
4.1.1. Protocolo FTP 
4.1.2. Protocolo DNS 
4.1.3. Protocolo DHCP 
4.1.4. Protocolo NFS 
4.2. 
Aplicaciones orientadas a conexión 
4.2.1. Protocolo FTP 
4.2.2. Protocolo telnet 
4.2.3. Protocolo HTTP 
4.2.4. Protocolo SMTP 
4.2.5. Protocolo SNMP"
ISC/aplicacionesComunicacionesRed_ISC2020.pdf,"UNIDAD TEMÁTICA V 
Invocación a métodos remotos","P
 
UNIDAD DE COMPETENCIA 
rograma 
aplicaciones 
distribuidas 
con 
base 
en 
el 
modelo 
cliente-servidor 
e 
interfaces  de  programación  de 
comunicación 
entre 
procesos 
remotos  de  alta  usabilidad  con 
optimización de recursos.","5
  5
 
5.1. Java RMI (Remote Method Invocation) 
 
5.2. Implementación de Skeleton 
.3. Implementación de Stub 
.4. RMIRegistry"
ISC/aplicacionesComunicacionesRed_ISC2020.pdf,"UNIDAD TEMÁTICA VI 
Aplicaciones P2P","P
 
UNIDAD DE COMPETENCIA 
rograma 
aplicaciones 
distribuidas  con  base  en  el 
modelo P2P de alta usabilidad 
con optimización de recursos.","6.1. 
Arquitectura P2P (Peer to Peer) 
6.1.1. Conectividad 
6.1.2. Enrutamiento de mensajes 
6.1.3. Búsquedas 
6.1.4. Seguridad  
6.2. 
Aplicaciones P2P 
6.2.1. Intercambio y búsqueda de archivos 
6.2.2. Sistemas de archivos distribuidos 
6.3. 
Sistema de telefonía a través de P2P"
ISC/circuitosElectricos_ISC2020.pdf,"UNIDAD TEMÁTICA I 
Fundamentos de circuitos 
eléctricos","A
 
UNIDAD DE COMPETENCIA 
naliza  circuitos  eléctricos  con 
base en las técnicas de análisis 
básicas 
e 
instrumentos 
de 
medición.","1
  1
  1
  1
  1
1.1 Unidades eléctricas  
  1.1.1 Voltaje  
  1.1.2 Corriente  
  1.1.3 Potencia eléctrica 
.2 Ley de Ohm  
  1.2.1 Resistencia  
  1.2.2 Tipos de resistencia 
  1.2.3 Código de colores 
.3 Elementos activos de circuitos eléctricos  
  1.3.1 Fuentes de voltaje independientes  
  1.3.2 Fuentes de corriente independientes 
.4 Medición de variables eléctricas en DC  
  1.4.1 Multímetro  
  1.4.2 Medición de voltaje  
  1.4.3 Medición de corriente  
  1.4.4 Medición de resistencia 
.5 Análisis de circuitos en CD mediante software de 
simulación de circuitos eléctricos 
.6 Leyes de Kirchhoff  
  1.6.1 Nodo  
  1.6.2 Malla  
  1.6.3 Elementos en serie  
  1.6.4 Elementos en paralelo  
  1.6.5 Ley de Kirchhoff de corriente  
  1.6.6 Ley de Kirchhoff de voltaje"
ISC/circuitosElectricos_ISC2020.pdf,"UNIDAD TEMÁTICA II 
Análisis de circuitos en corriente 
directa","R
 
UNIDAD DE COMPETENCIA 
esuelve problemas de circuitos 
eléctricos  con  base  en  técnicas 
de 
análisis 
avanzadas 
y 
teoremas de circuitos.","2
  2
  2
  2
2.1 Divisor de voltaje 
.2 Divisor de corriente 
.3 Análisis de mallas  
  2.3.1 Análisis de mallas con fuentes de voltaje 
independientes 
  2.3.2 Análisis de mallas con fuentes de voltaje y de 
corriente independientes 
.4 Análisis de nodos  
  2.4.1 Análisis de nodos con fuentes de corriente    
independientes 
  2.4.2 Análisis de nodos con fuentes de corriente y de 
voltaje independientes 
.5 Teoremas de circuitos  
  2.5.1 Teorema de superposición  
  2.5.2 Teorema del intercambio de Fuentes  
  2.5.3 Teorema de Thevenin  
  2.5.4 Teorema de Norton  
  2.5.5 Teorema de máxima transferencia de potencia"
ISC/circuitosElectricos_ISC2020.pdf,"UNIDAD TEMÁTICA III 
Análisis de circuitos en el 
dominio de la frecuencia","R
 
UNIDAD DE COMPETENCIA 
esuelve problemas de circuitos 
eléctricos  en  el  dominio  de 
la 
frecuencia 
con 
base 
en 
la 
transformada de Laplace.","3
  3
  3
  3
3.1 Funciones eléctricas  
3.1.1 Escalón  
3.1.2 Cuadrada  
3.1.3 Triangular  
3.1.4 Sinusoidal (amplitud, frecuencia, periodo, ángulo, 
valor medio y valor eficaz) 
.2 Equipo electrónico para señales alternas  
3.2.1 Osciloscopio  
3.2.2 Generador de funciones 
.3 Elementos pasivos de circuitos eléctricos variantes 
en el tiempo  
3.3.1 Capacitor  
3.3.2 Tipos de capacitores 
3.3.3 Relaciones integro-diferenciales de voltaje y 
corriente del capacitor 
3.3.4 Inductor  
3.3.5 Relaciones integro-diferenciales de voltaje y 
corriente del Inductor 
.4 Dominio de la frecuencia (s)  
3.4.1 Transformada de Laplace  
3.4.2 Transformada de Laplace de funciones simples 
en el tiempo  
3.4.3 Impedancia y admitancia Z(s) y Y(s)  
3.4.4 Reactancia y susceptancia capacitiva  
3.4.5 Reactancia y susceptancia inductiva  
3.4.6 Impedancias y admitancias en serie  
3.4.7 Impedancias y admitancias en paralelo 
.5 Análisis de circuitos en el dominio de s  
3.5.1 Leyes de Kirchhoff  
3.5.2 Mallas  
3.5.3 Nodos  
3.5.4 Polos, ceros y funciones de transferencia"
ISC/calculo_ISC2020.pdf,"UNIDAD TEMÁTICA I 
Funciones algebraicas y 
trascendentes","A
UNIDAD DE COMPETENCIA 
naliza las funciones a partir de 
sus propiedades y las diferentes 
representaciones.","1.1  Desigualdades 
 
1.4.1 
1.4.2 
1.4.3 
 
C - 2020"
ISC/calculo_ISC2020.pdf,"UNIDAD TEMÁTICA II 
Límites de funciones y 
continuidad","A
UNIDAD DE COMPETENCIA 
naliza 
la  continuidad  de  una 
función a partir de su límite. 
IS","2
2.1 Límites de manera gráfica y numérica 
.2 Cálculo analítico de límites 
2.2.1 Límites de formas indeterminadas 
2.2.2 Límites unilaterales 
2.2.3 Límites de funciones trigonométricas 
 
2.3 Límites infinitos y en el infinito 
2.3.1 Asíntotas horizontales, verticales y oblicuas 
 
2.4 Continuidad: en un punto y en un intervalo"
ISC/comunicacionOralEscrita_ISC2020.pdf,"UNIDAD TEMÁTICA I 
La comunicación en el siglo XXI","UNIDAD DE COMPETENCIA 
Identifica 
la 
importancia  de 
la 
comunicación  a  partir  de 
las 
habilidades 
comunicativas, 
las 
manifestaciones  socioculturales 
y las Tecnologías de Información 
y Comunicación.","1
  1
1.1  Naturaleza social de la comunicación: la lengua 
1.1.1 Habilidades comunicativas 
1.2 La comunicación como manifestación sociocultural 
C - 2020"
ISC/comunicacionOralEscrita_ISC2020.pdf,"UNIDAD TEMÁTICA II 
Comunicación escrita","D
UNIDAD DE COMPETENCIA 
istingue 
la 
comunicación 
escrita 
a 
partir 
de 
sus 
características, 
elementos, 
la 
normatividad 
y 
los 
textos 
académicos.","2
  2
  2
2.1 Comunicación escrita  
2.1.1 Características  
 
C - 2020"
ISC/comunicacionOralEscrita_ISC2020.pdf,"UNIDAD TEMÁTICA III 
Comunicación oral","R
UNIDAD DE COMPETENCIA 
ealiza  un  discurso  oral  con 
base 
en 
la 
producción del discurso público. 
IS","3
  3
3.1  Comunicación oral 
3.1.1Características 
.2 Tipos de discurso oral 
.3 Planeación y producción del discurso público 
3.3.1 Estrategias y técnicas para la presentación 
oral 
3.3.2 Presentación oral del discurso"
ISC/matematicasAvanzadasIngenieria_ISC2020.pdf,"UNIDAD TEMÁTICA I 
Operaciones con números 
complejos y derivación de 
funciones de variable compleja","UNIDAD DE COMPETENCIA 
 
Calcula operaciones con 
números complejos y derivadas 
de funciones de variable 
compleja a partir de sus 
propiedades fundamentales.","1
  1
1.1  Operaciones con números complejos 
1.1.1 Representación de un número complejo en el 
plano complejo. Parte real e imaginaria. Módulo y 
argumento. Igualdad de números complejos. Complejo 
conjugado. Forma cartesiana, polar y exponencial  
1.1.2 Operaciones: Suma, diferencia, multiplicación, 
división. Módulo de la multiplicación y de la división. 
Desigualdad del triángulo 
1.1.3 Potencias y raíces de un número complejo 
.2  Funciones de variable compleja 
1.2.1 Conjuntos en el plano complejo 
1.2.2 Separación de parte real e imaginaria de una 
función de variable compleja f(z) = u + i v 
1.2.3 Polinomios, funciones racionales, exponencial, 
logaritmo, funciones trigonométricas, funciones 
trigonométricas inversas. Mapeos conformes 
1.2.4 Límite y continuidad 
.3  Derivación de funciones de variable compleja 
1.3.1 Ecuaciones de Cauchy- Riemann 
1.3.2 Propiedades de las funciones analíticas. Parte 
real e imaginaria  
1.3.3 Reconstrucción de una función analítica a partir 
de su parte real o su parte imaginaria"
ISC/matematicasAvanzadasIngenieria_ISC2020.pdf,"UNIDAD TEMÁTICA II 
Integración de funciones de 
variable compleja","UNIDAD DE COMPETENCIA 
 
Calcula integrales de funciones 
de variable compleja a partir de 
teoremas sobre integrales 
complejas.","2
  2
2.1 Integrales curvilíneas 
2.1.1 Integrales de funciones analíticas y no analíticas 
.2 Integrales cerradas 
2.2.1 Teoremas para integrales cerradas. Dominios 
simplemente conexo y múltiplemente conexo 
Teorema de Cauchy-Goursat. 
2.2.2 Series de Taylor y Series de Laurent 
2.2.3 Cálculo de residuos 
.3 Aplicación de integrales complejas en el cálculo de 
integrales reales 
2.3.1 Integrales de funciones racionales 
2.3.2 Integrales de funciones racionales multiplicadas 
por senos y cosenos 
2.3.3 Integrales de funciones racionales de senos y 
cosenos"
ISC/matematicasAvanzadasIngenieria_ISC2020.pdf,"UNIDAD TEMÁTICA III 
Series y transformadas de 
Fourier","UNIDAD DE 
COMPETENCIA 
 
Calcula series y 
transformadas de Fourier, a 
partir de sus propiedades 
fundamentales.","3
  3
3.1 Series de Fourier trigonométrica 
3.3.1 Producto interno de funciones y norma. Ortogonalidad 
de la base de funciones trigonométricas 
3.3.2 Cálculo de los coeficientes de la serie. Condiciones 
de Dirichlet 
3.3.3 Serie de Fourier de funciones pares e impares 
3.3.4 Fenómeno de Gibbs 
3.3.5 Identidad de Parseval 
3.3.6 Serie de Fourier para funciones discretas 
.2 Serie de Fourier compleja 
3.2.1 Forma exponencial compleja. Base ortogonal de 
funciones exponenciales.  
3.2.2 Identidad de Parseval para la serie compleja 
.3 Transformada de Fourier 
3.3.1 Paso de la serie de Fourier compleja a la 
transformada de Fourier continua. Integral de Fourier. 
3.3.2 Identidad de Parseval para la transformada de Fourier 
3.3.3 Propiedades de la transformada de Fourier 
3.3.4 Transformada de Fourier de: Función Pulso, Delta de 
Dirac y Función Escalón 
3.3.5 Cálculo de transformadas directas e inversas 
mediante las propiedades 
3.3.6 Aplicaciones de la transformada de Fourier: Filtro 
pasa bajas (solución del circuito RLC), Sistema masa 
resorte amortiguado y Construcción de la carta de Smith."
ISC/electronicaAnalogica_ISC2020.pdf,"UNIDAD TEMÁTICA I 
Dispositivos 
semiconductores","UNIDAD DE 
COMPETENCIA 
 
Resuelve problemas 
aplicados a partir de las 
características de los 
dispositivos 
semiconductores.","1.1        Teoría de semiconductores  
1.2        Diodos semiconductores  
1.2.1     Diodo rectificador  
1.2.2     Diodo zener  
1.2.3     Diodo emisor de luz 
1.3        Reguladores de voltaje  
1.3.1     Reguladores de voltaje lineales fijos  
1.3.2     Reguladores de voltaje lineales variables  
1.4        Transistor Bipolar (BJT)  
1.4.1     Principios de operación del BJT  
1.4.2     Configuraciones básicas del BJT  
1.4.3     El BJT en estado de conmutación  
1.5        Transistor de Efecto de Campo (FET)  
1.5.1     Principios de operación del FET  
1.5.2     Parámetros y características de transferencia 
1.5.3     Polarización del FET"
ISC/electronicaAnalogica_ISC2020.pdf,"UNIDAD TEMÁTICA II 
Amplificadores operacionales","UNIDAD DE 
COMPETENCIA 
 
Aplica las características de 
los amplificadores 
operacionales, con base en 
el análisis de los dispositivos 
semiconductores en circuitos 
acondicionadores de 
señales.","2.1       Aspectos principales de los amplificadores 
operacionales 
2.2       Configuraciones básicas  
2.2.1    Amplificador inversor  
2.2.2    Amplificador no-inversor  
2.2.3    Sumador inversor  
2.2.4    Restador  
2.3       Configuraciones especiales  
2.3.1    Integrador   
2.3.2    Derivador  
2.3.3    Antilogarítmico  
2.3.4    Logarítmico  
2.4       Comparadores  
2.4.1    Detectores de cruce por cero  
2.4.2    Detectores de nivel  
2.4.3    Detectores con histéresis  
2.5       Osciladores 
2.6       Amplificador de Instrumentación"
ISC/electronicaAnalogica_ISC2020.pdf,"UNIDAD TEMÁTICA III 
Filtros activos","UNIDAD DE COMPETENCIA 
 
Diseña filtros activos a partir de 
las aplicaciones con 
amplificadores operacionales.","3.1        Filtros activos  
3.1.1     Orden del Filtro  
3.1.2     Funciones de transferencia en S  
3.1.3     Diagrama de Bode  
3.2        Filtros según su función  
3.2.1     Pasa bajas  
3.2.2     Pasa altas  
3.2.3     Pasa banda  
3.2.4     Rechaza banda"
ISC/algebraLineal_ISC2020.pdf,"UNIDAD TEMÁTICA I 
Sistemas de Ecuaciones 
Lineales","UNIDAD DE 
COMPETENCIA 
Resuelve 
sistemas 
de 
ecuaciones lineales con base 
en 
los  métodos  de  Gauss-
Jordan y la matriz inversa.","1.1.3 Sistema de m ecuaciones lineales con n incógnitas  
pivoteo 
1.2 Matrices 
ecuaciones 
1.2.2 Definiciones de matrices. 
1.2.3 Álgebra matricial 
1.3 Determinantes 
1.3.1 Propiedades 
1.3.2 Cálculo de determinantes 
1.3.3 Regla de Cramer 
1.4 Inversa de una Matriz 
1.4.1 Matrices elementales y matrices equivalentes a la 
matriz Identidad 
1.4.2 La inversa de una matriz como producto de matrices 
elementales 
1.4.3 Transpuesta de una matriz 
1.4.5 Solución de sistema de ecuaciones lineales usando 
C - 2020"
